"gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"389" "call" "for" "a" 6 2 2
"390" "come" "from" "the" 6 11 2
"391" "could" "be" "a" 6 5 5
"392" "find" "a" "way" 6 5 7
"393" "for" "a" "few" 6 20 11
"394" "for" "the" "th" 6 3 4
"395" "get" "out" "of" 6 11 16
"396" "go" "to" "take" 6 4 4
"397" "he" "was" "in" 6 2 3
"398" "head" "to" "the" 6 6 10
"399" "i" "feel" "like" 6 14 36
"400" "i" "grew" "up" 6 6 3
"401" "i" "have" "a" 6 41 64
"402" "i" "just" "want" 6 8 18
"403" "i" "was" "in" 6 8 13
"404" "if" "you" "have" 6 29 22
"405" "im" "not" "sure" 6 23 12
"406" "in" "the" "game" 6 3 4
"407" "in" "the" "morn" 6 19 24
"408" "in" "the" "next" 6 10 7
"409" "is" "a" "good" 6 12 13
"410" "is" "in" "a" 6 4 4
"411" "is" "on" "the" 6 10 12
"412" "it" "been" "a" 6 7 8
"413" "it" "has" "been" 6 15 6
"414" "it" "is" "not" 6 22 7
"415" "it" "seem" "like" 6 5 6
"416" "it" "was" "an" 6 11 2
"417" "just" "a" "littl" 6 5 5
"418" "may" "not" "be" 6 9 2
"419" "more" "of" "a" 6 4 6
"420" "of" "his" "own" 6 2 2
"421" "of" "the" "month" 6 4 3
"422" "of" "the" "top" 6 2 2
"423" "of" "the" "way" 6 4 2
"424" "on" "the" "tabl" 6 2 2
"425" "on" "the" "west" 6 2 2
"426" "on" "their" "own" 6 9 3
"427" "on" "to" "the" 6 8 6
"428" "out" "of" "it" 6 4 3
"429" "prepar" "for" "the" 6 3 2
"430" "seem" "to" "have" 6 11 3
"431" "set" "up" "a" 6 4 4
"432" "start" "of" "the" 6 6 2
"433" "stay" "in" "the" 6 3 4
"434" "thank" "to" "the" 6 6 8
"435" "that" "is" "a" 6 10 3
"436" "that" "would" "have" 6 6 2
"437" "the" "center" "of" 6 7 2
"438" "the" "first" "two" 6 4 4
"439" "the" "last" "two" 6 3 2
"440" "the" "mother" "of" 6 2 5
"441" "the" "park" "lot" 6 3 2
"442" "the" "state" "of" 6 4 6
"443" "the" "time" "to" 6 15 4
"444" "the" "way" "to" 6 6 10
"445" "there" "are" "no" 6 5 5
"446" "they" "are" "not" 6 12 2
"447" "thing" "to" "do" 6 11 6
"448" "to" "be" "abl" 6 24 6
"449" "to" "come" "to" 6 8 10
"450" "to" "come" "up" 6 5 5
"451" "to" "cover" "the" 6 3 3
"452" "to" "do" "that" 6 10 7
"453" "to" "do" "the" 6 8 8
"454" "to" "find" "a" 6 18 6
"455" "to" "find" "out" 6 18 7
"456" "to" "get" "it" 6 4 10
"457" "to" "help" "the" 6 3 2
"458" "to" "join" "the" 6 8 6
"459" "to" "make" "an" 6 5 7
"460" "to" "the" "new" 6 3 5
"461" "to" "the" "public" 6 2 2
"462" "to" "the" "top" 6 5 6
"463" "turn" "into" "a" 6 10 2
"464" "up" "for" "the" 6 7 12
"465" "version" "of" "the" 6 4 2
"466" "was" "on" "the" 6 5 4
"467" "way" "to" "the" 6 3 3
"468" "we" "have" "the" 6 5 3
"469" "what" "do" "you" 6 15 25
"470" "will" "have" "a" 6 8 4
"471" "will" "have" "to" 6 16 10
"472" "will" "not" "be" 6 11 3
"473" "will" "tri" "to" 6 2 4
"474" "with" "a" "new" 6 8 2
"475" "work" "as" "a" 6 3 4
"476" "you" "need" "to" 6 14 20
"477" "your" "go" "to" 6 8 10
"478" "youv" "got" "to" 6 2 2
"479" "a" "few" "of" 5 10 4
"480" "a" "great" "job" 5 4 2
"481" "a" "great" "place" 5 3 4
"482" "abl" "to" "make" 5 6 2
"483" "all" "over" "the" 5 21 9
"484" "all" "the" "way" 5 16 9
"485" "and" "had" "a" 5 13 3
"486" "and" "have" "a" 5 5 8
"487" "and" "i" "dont" 5 13 8
"488" "and" "if" "you" 5 11 6
"489" "and" "make" "it" 5 6 5
"490" "and" "one" "of" 5 3 2
"491" "and" "the" "other" 5 10 4
"492" "and" "this" "is" 5 10 6
"493" "and" "want" "to" 5 9 2
"494" "and" "you" "have" 5 3 3
"495" "as" "long" "as" 5 23 18
"496" "at" "least" "a" 5 5 2
"497" "at" "some" "point" 5 7 4
"498" "at" "the" "bottom" 5 11 5
"499" "at" "the" "top" 5 10 9
"500" "be" "the" "best" 5 5 10
"501" "but" "you" "can" 5 2 4
"502" "could" "have" "been" 5 9 6
"503" "day" "a" "week" 5 6 2
"504" "didnt" "want" "to" 5 16 7
"505" "each" "other" "and" 5 9 2
"506" "earli" "in" "the" 5 3 5
"507" "earlier" "in" "the" 5 2 3
